电影名,导演,评分,介绍,图片地址
情书,[': 岩井俊二 Shunji Iwai'],8.9,暗恋的极致。,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2648230660.jpg
看不见的客人,[': 奥里奥尔·保罗 Oriol Paulo'],8.8,你以为你以为的就是你以为的。,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2498971355.jpg
飞越疯人院,[': 米洛斯·福尔曼 Miloš Forman'],9.1,自由万岁。,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p792238287.jpg
穿条纹睡衣的男孩,[': 马克·赫尔曼 Mark Herman'],9.1,尽管有些不切实际的幻想，这部电影依旧是一部感人肺腑的佳作。,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p1473670352.jpg
西西里的美丽传说,[': 朱塞佩·托纳多雷 Giuseppe Tornatore'],8.9,美丽无罪。,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2441988159.jpg
拯救大兵瑞恩,[': 史蒂文·斯皮尔伯格 Steven Spielberg'],9.0,美利坚精神输出大片No1.,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p1014542496.jpg
小鞋子,[': 马基德·马基迪 Majid Majidi'],9.2,奔跑的孩子是天使。,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2165511465.jpg
音乐之声,[': 罗伯特·怀斯 Robert Wise'],9.1,用音乐化解仇恨，让歌声串起美好。,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p453788577.jpg
阿凡达,[': 詹姆斯·卡梅隆 James Cameron'],8.8,绝对意义上的美轮美奂。,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p2634997853.jpg
海豚湾,[': 路易·西霍尤斯 Louie Psihoyos'],9.3,海豚的微笑，是世界上最高明的伪装。,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2559579779.jpg
致命魔术,[': 克里斯托弗·诺兰 Christopher Nolan'],8.9,孪生蝙蝠侠大战克隆金刚狼。,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p480383375.jpg
美国往事,[': 赛尔乔·莱翁内 Sergio Leone'],9.2,往事如烟，无处祭奠。,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p477229647.jpg
沉默的羔羊,[': 乔纳森·戴米 Jonathan Demme'],8.9,安东尼·霍普金斯的顶级表演。,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1593414327.jpg
禁闭岛,[': Martin Scorsese'],8.8,昔日翩翩少年，今日大腹便便。,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1832875827.jpg
蝴蝶效应,[': 埃里克·布雷斯 Eric Bress / J·麦基·格鲁伯 J. Mackye Gruber'],8.8,人的命运被自己瞬间的抉择改变。,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2209066019.jpg
低俗小说,[': 昆汀·塔伦蒂诺 Quentin Tarantino'],8.9,故事的高级讲法。,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p1910902213.jpg
布达佩斯大饭店,[': 韦斯·安德森 Wes Anderson'],8.9,小清新的故事里注入了大历史的情怀。,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p2178872593.jpg
心灵捕手,[': 格斯·范·桑特 Gus Van Sant'],8.9,人生中应该拥有这样的一段豁然开朗。,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p480965695.jpg
七宗罪,[': 大卫·芬奇 David Fincher'],8.8,警察抓小偷，老鼠玩死猫。,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2219586434.jpg
春光乍泄,[': 王家卫 Kar Wai Wong'],8.9,爱情纠缠，男女一致。,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p465939041.jpg
哈利·波特与死亡圣器(下),[': 大卫·叶茨 David Yates'],8.9,10年的完美句点。,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p917846733.jpg
摩登时代,[': 查理·卓别林 Charles Chaplin'],9.3,大时代中的人生，小人物的悲喜。,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2263408369.jpg
喜剧之王,[': 周星驰 Stephen Chow / 李力持 Lik-Chi Lee'],8.8,我是一个演员。,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2579932167.jpg
被嫌弃的松子的一生,[': 中岛哲也 Tetsuya Nakashima'],8.9,以戏谑来戏谑戏谑。,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p884763596.jpg
致命ID,[': 詹姆斯·曼高德 James Mangold'],8.8,最不可能的那个人永远是最可能的。,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2558364386.jpg
杀人回忆,[': 奉俊昊 Joon-ho Bong'],8.9,关于连环杀人悬案的集体回忆。,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p657823840.jpg
加勒比海盗,[': 戈尔·维宾斯基 Gore Verbinski'],8.8,约翰尼·德普的独角戏。,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p1596085504.jpg
剪刀手爱德华,[': 蒂姆·波顿 Tim Burton'],8.7,浪漫忧郁的成人童话。,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p480956937.jpg
勇敢的心,[': 梅尔·吉布森 Mel Gibson'],8.9,史诗大片的典范。,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2004174709.jpg
狩猎,[': 托马斯·温特伯格 Thomas Vinterberg'],9.1,人言可畏。,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1546987967.jpg
请以你的名字呼唤我,[': 卢卡·瓜达尼诺 Luca Guadagnino'],8.9,沉醉在电影的情感和视听氛围中无法自拔。,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2505525050.jpg
红辣椒,[': 今敏 Satoshi Kon'],9.0,梦的勾结。,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p456825720.jpg
断背山,[': 李安 Ang Lee'],8.8,每个人心中都有一座断背山。,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2604889017.jpg
7号房的礼物,[': 李焕庆 Hwan-kyeong Lee'],8.9,《我是山姆》的《美丽人生》。,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p1816276065.jpg
天使爱美丽,[': 让-皮埃尔·热内 Jean-Pierre Jeunet'],8.7,法式小清新。 ,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p2447590313.jpg
幽灵公主,[': 宫崎骏 Hayao Miyazaki'],8.9,人与自然的战争史诗。,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p1613191025.jpg
小森林 夏秋篇,[': 森淳一 Junichi Mori'],9.0,那些静得只能听见呼吸的日子里，你明白孤独即生活。,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p2564498893.jpg
第六感,[': M·奈特·沙马兰 M. Night Shyamalan'],8.9,深入内心的恐怖，出人意料的结局。,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2220184425.jpg
阳光灿烂的日子,[': 姜文 Wen Jiang'],8.8,一场华丽的意淫。,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2564685215.jpg
超脱,[': 托尼·凯耶 Tony Kaye'],8.9,穷尽一生，我们要学会的，不过是彼此拥抱。,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p1305562621.jpg
功夫,[': 周星驰 Stephen Chow'],8.7,警恶惩奸，维护世界和平这个任务就交给你了，好吗？,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2219011938.jpg
重庆森林,[': 王家卫 Kar Wai Wong'],8.8,寂寞没有期限。,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p792381411.jpg
唐伯虎点秋香,[': 李力持 Lik-Chi Lee'],8.7,华太师是黄霑，吴镇宇四大才子之一。,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2357915564.jpg
爱在黎明破晓前,[': 理查德·林克莱特 Richard Linklater'],8.8,缘分是个连绵词，最美不过一瞬。,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2555762374.jpg
人生果实,[': 伏原健之 Kenshi Fushihara'],9.5,土壤没有落叶不会肥沃，没有了你就不算人生。,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p2544912792.jpg
一一,[': 杨德昌 Edward Yang'],9.1,我们都曾经是一一。,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p2567845803.jpg
小森林 冬春篇,[': 森淳一 Junichi Mori'],9.0,尊敬他人，尊敬你生活的这片土地，明白孤独是人生的常态。,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2215147728.jpg
蝙蝠侠：黑暗骑士崛起,[': 克里斯托弗·诺兰 Christopher Nolan'],8.8,诺兰就是保证。,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p1706428744.jpg
